"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=equidae"
"Access Time","Fri 2017-02-03 06:54:40 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","equidae"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.211"
"Records Found","5815"
"Records Returned","5815"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"170920","occ","30957","","15662","Minippus index","species","260855","","Minippus index","species","49440","Wasatchian","","55.8","50.3","53105"
"170953","occ","30954","","15663","Eohippus angustidens","species","46149","","Eohippus angustidens","species","49415","Wasatchian","","55.8","50.3","53105"
"170955","occ","30953","","15663","Xenicohippus osborni","species","52717","","Xenicohippus osborni","species","52717","Wasatchian","","55.8","50.3","53105"
"170999","occ","30955","","15671","Eohippus cf. angustidens","species","46149","","Eohippus angustidens","species","49415","Wasatchian","","55.8","50.3","53105"
"171009","occ","1951","","15673","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"171040","occ","","","15679","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Early Eocene","","55.8","48.6","3801"
"171130","occ","","","15709","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Early Eocene","","55.8","48.6","1660"
"171181","occ","1971","","15716","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"171218","occ","1983","","15720","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"171225","occ","1987","","15721","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"171230","occ","1990","","15722","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"171242","occ","1997","","15723","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"171249","occ","2001","","15724","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"171280","occ","30946","","15725","Arenahippus grangeri","species","223572","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","53105"
"171289","occ","","","15726","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","1660"
"171307","occ","","","15727","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","1660"
"171312","occ","","","15728","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","1660"
"171338","occ","2027","","15729","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","1660"
